ABBANS DESSOUS;25320;1;1
ABBANS DESSUS;25440;1;1
ABBENANS;25340;1
ABBEVILLERS;25310;1
ACCOLANS;25250;1
ADAM LES PASSAVANT;25360;1
ADAM LES VERCEL;25530;1
AIBRE;25750;1
AISSEY;25360;1
ALAISE;25330;1
ALLENJOIE;25490;1
LES ALLIES;25300;1
ALLONDANS;25550;1
AMAGNEY;25220;1
AMANCEY;25330;1
AMATHAY VESIGNEUX;25330;1
AMONDANS;25330;1
ANTEUIL;25340;1
APPENANS;25250;1
ARBOUANS;25400;1
ARC ET SENANS;25610;1
ARCEY;25750;1
ARCIER;25220;1
ARCON;25300;1
ARC SOUS CICON;25520;1
ARC SOUS MONTENOT;25270;1
ARGUEL;25720;1
ATHOSE;25580;1
AUBONNE;25520;1
AUDEUX;25170;1
AUDINCOURT;25400;1
AUTECHAUX;25110;1
AUTECHAUX ROIDE;25150;1
AUXON DESSOUS;25870;1
AUXON DESSUS;25870;1
AVANNE AVENEY;25720;1
AVENEY;25720;1
AVILLEY;25680;1
AVOUDREY;25690;1
BADEVEL;25490;1
BANNANS;25560;1
LE BARBOUX;25210;1
BART;25420;1
BARTHERANS;25440;1
BATTENANS LES MINES;25640;1
BATTENANS VARIN;25380;1
BAUME LES DAMES;25110;1
BAVANS;25550;1
BELFAYS;25470;1
LE BELIEU;25500;1
BELLEHERBE;25380;1
BELMONT;25530;1
BELVOIR;25430;1
BERCHE;25420;1
BERTHELANGE;25410;1
BESANCON;25000;1
BETHONCOURT;25200;1
BEURE;25720;1
BEUTAL;25250;1
BIANS LES USIERS;25520;1
BIEF;25190;1
LE BIZOT;25210;1
BLAMONT;25310;1
BLANCHEFONTAINE;25120;1
BLARIANS;25640;1
BLUSSANGEAUX;25250;1
BLUSSANS;25250;1
BOIS LA VILLE;25110;1
BOLANDOZ;25330;1
BONDEVAL;25230;1
BONNAL;25680;1
BONNAY;25870;1
BONNETAGE;25210;1
BONNEVAUX;25560;1
BONNEVAUX LE PRIEURE;25620;1
LA BOSSE;25210;1
BOUCLANS;25360;1
BOUJAILLES;25560;1
BOUJEONS;25160;1
LE BOULOIS;25140;1
BOURGUIGNON;25150;1
BOURNOIS;25250;1
BOUSSIERES;25320;1
BOUVERANS;25560;1
BRAILLANS;25640;1
BRANNE;25340;1
BRECONCHAUX;25640;1
BREMONDANS;25530;1
BRERES;25440;1
LES BRESEUX;25120;1
LA BRETENIERE;25640;1
BRETIGNEY;25250;1
BRETIGNEY NOTRE DAME;25110;1
BRETONVILLERS;25380;1
BREY ET MAISON DU BOIS;25240;1
BROGNARD;25600;1
BUFFARD;25440;1
BUGNY;25520;1
BULLE;25560;1
BURGILLE;25170;1
BURNEVILLERS;25470;1
BUSY;25320;1
BY;25440;1
BYANS SUR DOUBS;25320;1
CADEMENE;25290;1
CENDREY;25640;1
CERNAY L EGLISE;25120;1
CESSEY;25440;1
CHAFFOIS;25300;1
CHALEZE;25220;1
CHALEZEULE;25220;1
CHAMESEY;25380;1
CHAMESOL;25190;1
CHAMPAGNEY;25170;1
CHAMPLIVE;25360;1
CHAMPOUX;25640;1
CHAMPVANS LES BAUME;25110;1
CHAMPVANS LES MOULINS;25170;1
CHANTRANS;25330;1
CHAPELLE DES BOIS;25240;1
CHAPELLE D HUIN;25270;1
CHARBONNIERES LES SAPINS;25620;1
CHARMAUVILLERS;25470;1
CHARMOILLE;25380;1
CHARNAY;25440;1
CHARQUEMONT;25140;1
CHASNANS;25580;1
CHASSAGNE ST DENIS;25290;1
CHATEAUVIEUX LES FOSSES;25840;1
CHATELBLANC;25240;1
CHATILLON GUYOTTE;25640;1
CHATILLON LE DUC;25870;1
CHATILLON SUR LISON;25440;1
CHAUCENNE;25170;1
CHAUDEFONTAINE;25640;1
LES TERRES DE CHAUX;25190;1
LA CHAUX;25650;1
CHAUX LES CLERVAL;25340;1
CHAUX LES PASSAVANT;25530;1
CHAUX NEUVE;25240;1
CHAY;25440;1
CHAZELOT;25680;1
CHAZOT;25430;1
CHAZOY;25170;1
CHEMAUDIN;25320;1
LA CHENALOTTE;25500;1
CHENECEY BUILLON;25440;1
CHEVIGNEY SUR L OGNON;25170;1
CHEVIGNEY LES VERCEL;25530;1
LA CHEVILLOTTE;25620;1
CHEVROZ;25870;1
CHOUZELOT;25440;1
CLERON;25330;1
CLERVAL;25340;1
LA CLUSE ET MIJOUX;25300;1
COLOMBIER CHATELOT;25260;1
COLOMBIER FONTAINE;25260;1
LES COMBES;25500;1
CONSOLATION MAISONNETTES;25390;1
CORCELLE FERRIERES;25410;1
CORCELLE MIESLOT;25640;1
CORCONDRAY;25410;1
CORDIRON;25170;1
COTEBRUNE;25360;1
COTTIER;25410;1
COULANS SUR LIZON;25330;1
COURCELLES LES MONTBELIAR;25420;1
COURCELLES;25440;1
COURCHAPON;25170;1
COUR ST MAURICE;25380;1
COURTEFONTAINE;25470;1
COURTETAIN ET SALANS;25530;1
COURVIERES;25560;1
CROSEY LE GRAND;25340;1
CROSEY LE PETIT;25340;1
LE CROUZET;25240;1
CROUZET MIGETTE;25270;1
CUBRIAL;25680;1
CUBRY;25680;1
CUSANCE;25110;1
CUSE ET ADRISANS;25680;1
CUSSEY SUR LISON;25440;1
CUSSEY SUR L OGNON;25870;1
DAMBELIN;25150;1
DAMBENOIS;25600;1
DAMMARTIN LES TEMPLIERS;25110;1
DAMPIERRE LES BOIS;25490;1
DAMPIERRE SUR LE DOUBS;25420;1
DAMPJOUX;25190;1
DAMPRICHARD;25450;1
DANNEMARIE;25310;1
DANNEMARIE SUR CRETE;25410;1
DASLE;25230;1
DELUZ;25960;1
DESANDANS;25750;1
DESERVILLERS;25330;1
DEVECEY;25870;1
DOMMARTIN;25300;1
DOMPIERRE LES TILLEULS;25560;1
DOMPREL;25510;1
DOUBS;25300;1
DOULAIZE;25330;1
DROITFONTAINE;25380;1
DUNG;25550;1
DURNES;25580;1
ECHAY;25440;1
ECHENANS;25550;1
ECHEVANNES;25580;1
ECOLE VALENTIN;25480;1
LES ECORCES;25140;1
ECOT;25150;1
L ECOUVOTTE;25640;1
ECURCEY;25150;1
EMAGNY;25170;1
EPENOUSE;25530;1
EPENOY;25800;1
EPEUGNEY;25290;1
ESNANS;25110;1
ETALANS;25580;1
ETERNOZ;25330;1
ETOUVANS;25260;1
ETRABONNE;25170;1
ETRAPPE;25250;1
ETRAY;25800;1
ETUPES;25460;1
EVILLERS;25520;1
EXINCOURT;25400;1
EYSSON;25530;1
FAIMBE;25250;1
FALLERANS;25580;1
FERRIERES LE LAC;25470;1
FERRIERES LES BOIS;25410;1
FERTANS;25330;1
FESCHES LE CHATEL;25490;1
FESSEVILLERS;25470;1
FEULE;25190;1
LES FINS;25500;1
FLAGEY;25330;1
FLAGEY RIGNEY;25640;1
FLANGEBOUCHE;25690;1
FLEUREY;25190;1
FONTAIN;25660;1
FONTAINE LES CLERVAL;25340;1
FONTENELLE MONTBY;25340;1
LES FONTENELLES;25210;1
FONTENOTTE;25110;1
FOUCHERANS;25620;1
FOURBANNE;25110;1
FOURCATIER ET MAISON NEUV;25370;1
FOURG;25440;1
LES FOURGS;25300;1
FOURNET BLANCHEROCHE;25140;1
FRAMBOUHANS;25140;1
FRANEY;25170;1
FRANOIS;25770;1
FRASNE;25560;1
LE FRIOLAIS;25120;1
FROIDEVAUX;25190;1
FUANS;25390;1
GELLIN;25240;1
GEMONVAL;25250;1
GENEUILLE;25870;1
GENEY;25250;1
GENNES;25660;1
GERMEFONTAINE;25510;1
GERMONDANS;25640;1
GEVRESIN;25270;1
GILLEY;25650;1
GLAINANS;25340;1
GLAMONDANS;25360;1
GLAY;25310;1
GLERE;25190;1
GONDENANS MONTBY;25340;1
GONDENANS LES MOULINS;25680;1
GONSANS;25360;1
GOUHELANS;25680;1
GOUMOIS;25470;1
GOUX LES DAMBELIN;25150;1
GOUX LES USIERS;25520;1
GOUX SOUS LANDET;25440;1
GRAND CHARMONT;25200;1
GRAND COMBE CHATELEU;25570;1
GRAND COMBE DES BOIS;25210;1
GRANDFONTAINE;25320;1
FOURNETS LUISANS;25390;1
GRANDFONTAINE SUR CREUSE;25510;1
LA GRANGE;25380;1
GRANGES DE VIENNEY;25360;1
GRANGES MAILLOT;25270;1
GRANGES NARBOZ;25300;1
GRANGES STE MARIE;25160;1
LES GRANGETTES;25160;1
LES GRAS;25790;1
LE GRATTERIS;25620;1
GROSBOIS;25110;1
GUILLON LES BAINS;25110;1
GUYANS DURNES;25580;1
GUYANS VENNES;25390;1
HAUTEPIERRE LE CHATELET;25580;1
HAUTERIVE LA FRESSE;25650;1
HERIMONCOURT;25310;1
L HOPITAL DU GROSBOIS;25620;1
L HOPITAL ST LIEFFROY;25340;1
LES HOPITAUX NEUFS;25370;1
LES HOPITAUX VIEUX;25370;1
HOUTAUD;25300;1
HUANNE MONTMARTIN;25680;1
HYEMONDANS;25250;1
HYEVRE MAGNY;25110;1
HYEVRE PAROISSE;25110;1
INDEVILLERS;25470;1
L ISLE SUR LE DOUBS;25250;1
ISSANS;25550;1
JALLERANGE;25170;1
JOUGNE;25370;1
LABERGEMENT DU NAVOIS;25270;1
LABERGEMENT STE MARIE;25160;1
VILLERS LE LAC;25130;1
LAIRE;25550;1
LAISSEY;25820;1
LANANS;25360;1
LANDRESSE;25530;1
LANTENNE VERTIERE;25170;1
LANTHENANS;25250;1
LARNOD;25720;1
LAVAL LE PRIEURE;25210;1
LAVANS QUINGEY;25440;1
LAVANS VUILLAFANS;25580;1
LAVERNAY;25170;1
LAVIRON;25510;1
LEVIER;25270;1
LIEBVILLERS;25190;1
LIESLE;25440;1
LIEVREMONT;25650;1
LIZINE;25330;1
LODS;25930;1
LOMBARD;25440;1
LOMONT SUR CRETE;25110;1
LONGECHAUX;25690;1
LONGEMAISON;25690;1
LONGEVELLE LES RUSSEY;25380;1
LONGEVELLE SUR DOUBS;25260;1
LONGEVILLE;25330;1
LA LONGEVILLE;25650;1
LONGEVILLES MONT D OR;25370;1
LORAY;25390;1
LOUGRES;25260;1
LE LUHIER;25210;1
LUISANS;25390;1
LUSANS;25640;1
LUXIOL;25110;1
MAGNY CHATELARD;25360;1
MAICHE;25120;1
MAISONS DU BOIS LIEVREMON;25650;1
MAISIERES NOTRE DAME;25290;1
MALANS;25330;1
MALBRANS;25620;1
MALBUISSON;25160;1
MALPAS;25160;1
MAMBOUHANS;25150;1
MAMIROLLE;25620;1
MANCENANS;25250;1
MANCENANS LIZERNE;25120;1
MANDEURE;25350;1
MARCHAUX;25640;1
MARVELISE;25250;1
MATHAY;25700;1
MAZEROLLES LE SALIN;25170;1
MEDIERE;25250;1
LE MEMONT;25210;1
MERCEY LE GRAND;25410;1
MEREY SOUS MONTROND;25660;1
MEREY VIEILLEY;25870;1
MESANDANS;25680;1
MESLIERES;25310;1
MESMAY;25440;1
METABIEF;25370;1
MISEREY SALINES;25480;1
MONCEY;25870;1
MONCLEY;25170;1
MONDON;25680;1
MONTAGNEY SERVIGNEY;25680;1
MONTANCY;25190;1
MONTANDON;25190;1
MONTBELIARD;25200;1
MONTBELIARDOT;25210;1
MONTBENOIT;25650;1
MONT DE LAVAL;25210;1
MONT DE VOUGNEY;25120;1
MONTECHEROUX;25190;1
MONTENOIS;25260;1
MONTFAUCON;25660;1
MONTFERNEY;25680;1
MONTFERRAND LE CHATEAU;25320;1
MONTFLOVIN;25650;1
MONTFORT;25440;1
MONTGESOYE;25111;1
MONTIVERNAGE;25110;1
MONTJOIE LE CHATEAU;25190;1
MONTLEBON;25500;1
MONTMAHOUX;25270;1
MONTPERREUX;25160;1
MONTROND LE CHATEAU;25660;1
MONTURSIN;25190;1
MONTUSSAINT;25680;1
MORCHAMPS;25680;1
MORRE;25660;1
MORTEAU;25500;1
MOUILLEVILLERS;25190;1
MOUTHE;25240;1
LE MOUTHEROT;25170;1
MOUTHIER HAUTE PIERRE;25920;1
MYON;25440;1
NAISEY LES GRANGES;25360;1
NANCRAY;25360;1
NANS;25680;1
NANS SOUS STE ANNE;25330;1
NARBIEF;25210;1
NEUCHATEL URTIERE;25150;1
NODS;25580;1
NOEL CERNEUX;25500;1
NOIREFONTAINE;25190;1
NOIRONTE;25170;1
NOMMAY;25600;1
NOVILLARS;25220;1
OLLANS;25640;1
ONANS;25250;1
ORCHAMPS VENNES;25390;1
ORGEANS BLANCHE FONTAINE;25120;1
ORNANS;25290;1
ORSANS;25530;1
ORVE;25430;1
OSSE;25360;1
OSSELLE;25320;1
OUGNEY DOUVOT;25640;1
OUHANS;25520;1
OUVANS;25530;1
OYE ET PALLET;25160;1
PALANTINE;25440;1
PALISE;25870;1
PAROY;25440;1
PASSAVANT;25360;1
PASSONFONTAINE;25690;1
PELOUSEY;25170;1
PESEUX;25190;1
PESSANS;25440;1
PETITE CHAUX;25240;1
PIERREFONTAINE LES BLAMON;25310;1
PIERREFONTAINE LES VARANS;25510;1
PIREY;25480;1
PLACEY;25170;1
PLAIMBOIS DU MIROIR;25210;1
PLAIMBOIS VENNES;25390;1
LES PLAINS ET GRANDS ESSA;25470;1
LA PLANEE;25160;1
POINTVILLERS;25440;1
POMPIERRE SUR DOUBS;25340;1
PONTARLIER;25300;1
PONT DE ROIDE;25150;1
LES PONTETS;25240;1
PONT LES MOULINS;25110;1
POUILLEY FRANCAIS;25410;1
POUILLEY LES VIGNES;25115;1
POULIGNEY LUSANS;25640;1
PRESENTEVILLERS;25550;1
LA PRETIERE;25250;1
PROVENCHERE;25380;1
PUESSANS;25680;1
PUGEY;25720;1
LE PUY;25640;1
QUINGEY;25440;1
RAHON;25430;1
RANCENAY;25320;1
RANDEVILLERS;25430;1
RANG;25250;1
RANTECHAUX;25580;1
RAYNANS;25550;1
RECOLOGNE;25170;1
RECULFOZ;25240;1
REFRANCHE;25330;1
REMONDANS VAIVRE;25150;1
REMORAY BOUJEONS;25160;1
RENEDALE;25520;1
RENNES SUR LOUE;25440;1
REUGNEY;25330;1
RIGNEY;25640;1
RIGNOSOT;25640;1
RILLANS;25110;1
LA RIVIERE DRUGEON;25560;1
ROCHEJEAN;25370;1
ROCHE LEZ BEAUPRE;25220;1
ROCHE LES CLERVAL;25340;1
ROCHES LES BLAMONT;25310;1
ROGNON;25680;1
ROMAIN;25680;1
RONCHAUX;25440;1
RONDEFONTAINE;25240;1
ROSET FLUANS;25410;1
ROSIERES SUR BARBECHE;25190;1
ROSUREUX;25380;1
ROUGEMONT;25680;1
ROUGEMONTOT;25640;1
ROUHE;25440;1
ROULANS;25640;1
ROUTELLE;25410;1
RUFFEY LE CHATEAU;25170;1
RUREY;25290;1
LE RUSSEY;25210;1
STE ANNE;25270;1
ST ANTOINE;25370;1
STE COLOMBE;25300;1
ST GEORGES ARMONT;25340;1
ST GORGON MAIN;25520;1
ST HILAIRE;25640;1
ST HIPPOLYTE;25190;1
ST JUAN;25360;1
ST JULIEN LES MONTBELIARD;25550;1
ST JULIEN LES RUSSEY;25210;1
STE MARIE;25113;1
ST MAURICE COLOMBIER;25260;1
ST POINT LAC;25160;1
STE SUZANNE;25630;1
ST VIT;25410;1
SAMSON;25440;1
SANCEY LE GRAND;25430;1
SANCEY LE LONG;25430;1
SANTOCHE;25340;1
SAONE;25660;1
SARAZ;25330;1
SARRAGEOIS;25240;1
SAULES;25580;1
SAUVAGNEY;25170;1
SCEY MAISIERES;25290;1
SECHIN;25110;1
SELONCOURT;25230;1
SEMONDANS;25750;1
SEPTFONTAINES;25270;1
SERRE LES SAPINS;25770;1
SERVIGNEY;25680;1
SERVIN;25430;1
SILLEY AMANCEY;25330;1
SILLEY BLEFOND;25110;1
SOCHAUX;25600;1
SOLEMONT;25190;1
SOMBACOUR;25520;1
LA SOMMETTE;25510;1
SOULCE CERNAY;25190;1
SOURANS;25250;1
SOYE;25250;1
SURMONT;25380;1
TAILLECOURT;25400;1
TALLANS;25680;1
TALLENAY;25870;1
TARCENAY;25620;1
THIEBOUHANS;25470;1
THISE;25220;1
THORAISE;25320;1
THULAY;25310;1
THUREY LE MONT;25870;1
TORPES;25320;1
TOUILLON ET LOUTELET;25370;1
LA TOUR DE SCAY;25640;1
TOURNANS;25680;1
TOURNEDOZ;25340;1
TREPOT;25620;1
TRESSANDANS;25680;1
TREVILLERS;25470;1
TROUVANS;25680;1
URTIERE;25470;1
UZELLE;25340;1
VAIRE ARCIER;25220;1
VAIRE LE PETIT;25220;1
VAIVRE;25150;1
VALDAHON;25800;1
VAL DE ROULANS;25640;1
VALENTIGNEY;25700;1
VALENTIN;25480;1
VALLEROY;25870;1
VALONNE;25190;1
VALOREILLE;25190;1
VANCLANS;25580;1
VANDONCOURT;25230;1
VAUCHAMPS;25360;1
VAUCLUSE;25380;1
VAUCLUSOTTE;25380;1
VAUDRIVILLERS;25360;1
VAUFREY;25190;1
VAUX ET CHANTEGRUE;25160;1
VAUX LES PRES;25770;1
VELESMES ESSARTS;25410;1
VELLEROT LES BELVOIR;25430;1
VELLEROT LES VERCEL;25530;1
VELLEVANS;25430;1
VENISE;25870;1
VENNANS;25640;1
VENNES;25390;1
VERCEL VILLEDIEU LE CAMP;25530;1
VERGRANNE;25110;1
VERMONDANS;25150;1
VERNE;25110;1
VERNIERFONTAINE;25580;1
VERNOIS LE FOL;25190;1
VERNOIS LES BELVOIR;25430;1
LE VERNOY;25750;1
VERRIERES DE JOUX;25300;1
VERRIERES DU GROSBOIS;25580;1
LA VEZE;25660;1
VIEILLEY;25870;1
VIETHOREY;25340;1
VIEUX CHARMONT;25600;1
VILLARS LES BLAMONT;25310;1
VILLARS ST GEORGES;25410;1
VILLARS SOUS DAMPJOUX;25190;1
VILLARS SOUS ECOT;25150;1
LES VILLEDIEU;25240;1
VILLE DU PONT;25650;1
VILLENEUVE D AMONT;25270;1
VILLERS BUZON;25170;1
VILLERS CHIEF;25530;1
VILLERS GRELOT;25640;1
VILLERS LA COMBE;25510;1
VILLERS ST MARTIN;25110;1
VILLERS SOUS CHALAMONT;25270;1
VILLERS SOUS MONTROND;25620;1
VOILLANS;25110;1
VOIRES;25580;1
VORGES LES PINS;25320;1
VOUJEAUCOURT;25420;1
VUILLAFANS;25840;1
VUILLECIN;25300;1
VYT LES BELVOIR;25430;1
ANTORPE;25410;1
ABELCOURT;70300;1
ABONCOURT GESINCOURT;70500;1
ACHEY;70180;1
ADELANS ET LE VAL DE BITH;70200;1
AILLEVANS;70110;1
AILLEVILLERS ET LYAUMONT;70320;1
AILLONCOURT;70300;1
AINVELLE;70800;1
AISEY ET RICHECOURT;70500;1
ALAINCOURT;70210;1
AMAGE;70280;1
AMANCE;70160;1
AMBIEVILLERS;70210;1
AMBLANS ET VELOTTE;70200;1
AMONCOURT;70170;1
AMONT ET EFFRENEY;70310;1
ANCHENONCOURT ET CHAZEL;70210;1
ANCIER;70100;1
ANDELARRE;70000;1
ANDELARROT;70000;1
ANDORNAY;70200;1
ANGIREY;70700;1
ANJEUX;70800;1
APREMONT;70100;1
ARBECEY;70160;1
ARC LES GRAY;70100;1
ARGILLIERES;70600;1
AROZ;70360;1
ARPENANS;70200;1
ARSANS;70100;1
ATHESANS ETROITE FONTAINE;70110;1
ATTRICOURT;70100;1
AUBERTANS;70190;1
AUBIGNEY;70140;1
AUGICOURT;70500;1
AULX LES CROMARY;70190;1
AUTET;70180;1
AUTHOISON;70190;1
AUTOREILLE;70700;1
AUTREY LES CERRE;70110;1
AUTREY LES GRAY;70100;1
AUTREY LE VAY;70110;1
AUVET ET LA CHAPELOTTE;70100;1
AUXON;70000;1
AVRIGNEY VIREY;70150;1
LES AYNANS;70200;1
BAIGNES;70000;1
BARD LES PESMES;70140;1
BARGES;70500;1
LA BARRE;70190;1
LA BASSE VAIVRE;70210;1
BASSIGNEY;70800;1
LES BATIES;70130;1
BATTRANS;70100;1
BAUDONCOURT;70300;1
BAULAY;70160;1
BAY;70150;1
BEAUJEU ST VALLIER PIERRE;70100;1
BEAUMOTTE AUBERTANS;70190;1
BEAUMOTTE LES PIN;70150;1
BELFAHY;70290;1
BELMONT;70270;1
BELONCHAMP;70270;1
BELVERNE;70400;1
BESNANS;70230;1
BETAUCOURT;70500;1
BETONCOURT LES BROTTE;70300;1
BETONCOURT LES MENETRIERS;70120;1
BETONCOURT ST PANCRAS;70210;1
BETONCOURT SUR MANCE;70500;1
BEULOTTE ST LAURENT;70310;1
BEVEUGE;70110;1
BLONDEFONTAINE;70500;1
BONBOILLON;70150;1
BONNEVENT VELLOREILLE;70700;1
BOREY;70110;1
BOUGEY;70500;1
BOUGNON;70170;1
BOUHANS ET FEURG;70100;1
BOUHANS LES LURE;70200;1
BOUHANS LES MONTBOZON;70230;1
BOULIGNEY;70800;1
BOULOT;70190;1
BOULT;70190;1
BOURBEVELLE;70500;1
BOURGUIGNON LES CONFLANS;70800;1
BOURGUIGNON LES LA CHARIT;70190;1
BOURGUIGNON LES MOREY;70120;1
BOURSIERES;70000;1
BOUSSERAUCOURT;70500;1
BRESILLEY;70140;1
BREUCHES;70300;1
BREUCHOTTE;70280;1
BREUREY LES FAVERNEY;70160;1
BREVILLIERS;70400;1
BRIAUCOURT;70800;1
BROTTE LES LUXEUIL;70300;1
BROTTE LES RAY;70180;1
BROYE LOUP VERFONTAINE;70100;1
BROYE AUBIGNEY MONTSEUGNY;70140;1
BRUSSEY;70150;1
LA BRUYERE;70280;1
BUCEY LES GY;70700;1
BUCEY LES TRAVES;70360;1
BUFFIGNECOURT;70500;1
BUSSIERES;70190;1
BUSSUREL;70400;1
BUTHIERS;70190;1
BYANS;70400;1
CALMOUTIER;70240;1
CEMBOING;70500;1
CENANS;70230;1
CENDRECOURT;70500;1
CERRE LES NOROY;70000;1
CHAGEY;70400;1
CHALONVILLARS;70400;1
CHAMBORNAY LES BELLEVAUX;70190;1
CHAMBORNAY LES PIN;70150;1
CHAMPAGNEY;70290;1
CHAMPEY;70400;1
CHAMPLITTE;70600;1
CHAMPLITTE LA VILLE;70600;1
CHAMPTONNAY;70100;1
CHAMPVANS;70100;1
CHANCEY;70140;1
CHANTES;70360;1
LA CHAPELLE LES LUXEUIL;70300;1
LA CHAPELLE ST QUILLAIN;70700;1
CHARCENNE;70700;1
CHARENTENAY;70130;1
CHARGEY LES GRAY;70100;1
CHARGEY LES PORT;70170;1
CHARIEZ;70000;1
CHARMES ST VALBERT;70120;1
CHARMOILLE;70000;1
CHASSEY LES MONTBOZON;70230;1
CHASSEY LES SCEY;70360;1
CHATEAU LAMBERT;70440;1
CHATENEY;70240;1
CHATENOIS;70240;1
CHAUMERCENNE;70140;1
CHAUVIREY LE CHATEL;70500;1
CHAUVIREY LE VIEIL;70500;1
CHAUX LA LOTIERE;70190;1
CHAUX LES PORT;70170;1
CHAVANNE;70400;1
CHEMILLY;70360;1
CHENEBIER;70400;1
CHENEVREY ET MOROGNE;70150;1
CHEVIGNEY;70140;1
CHOYE;70700;1
CINTREY;70120;1
CIREY;70190;1
CITERS;70300;1
CITEY;70700;1
CLAIREGOUTTE;70200;1
CLANS;70000;1
COGNIERES;70230;1
COISEVAUX;70400;1
COLOMBE LES BITHAINE;70200;1
COLOMBE LES VESOUL;70000;1
COLOMBIER;70000;1
COLOMBOTTE;70240;1
COMBEAUFONTAINE;70120;1
COMBERJON;70000;1
CONFLANDEY;70170;1
CONFLANS SUR LANTERNE;70800;1
