Claude;Abbes
Éric;Abidal
Robert;Accard
Marcel;Adamczyk
Jean-Pierre;Adams
Georges;Albert
Joseph;Alcazar
Charles;Allé
André;Allègre
Pierre;Allemane
René;Alpsteg
Morgan;Amalfitano
Loïc;Amisse
Manuel;Amoros
Manuel;Anatol
Mathieu;André
Nicolas;Anelka
Jocelyn;Angloma
Bernard;Antoinette
Philippe;Anziani
Henri;Arnaudeau
Marcel;Artélésa
Alfred;Aston
Marcel;Aubour
William;Ayache
Emmanuel;Aznar
Ibrahim;Ba
Jean;Baeza
Henri;Baillot
Pascal;Baills
Maurice;Banide
Edmond;Baraffe
J.M.;Barat
Dominique;Baratelli
Jean;Baratte
Henri;Bard
Charles;Bardot
Paul;Baron
Bruno;Baronchelli
Gaston;Barreau
Fabien;Barthez
Jean;Bastien
Dominique;Bathenay
Jean;Batmale
Zacharie;Baton
Joël;Bats
Albert;Batteux
Patrick;Battiston
Édouard;Baumann
Georges;Bayrou
Henri;Beau
Georges;Beaucourt
Maurice;Beaudier
Yvan;Beck
Paul-Émile;Bel
Henri;Bellocq
Bruno;Bellone
Jean;Belver
Hatem Ben;Arfa
Larbi Ben;Barek
Abdelkader Ben;Bouali
Mustapha Ben;M'Barek
Abdesselem Ben;Mohammed
Abdelaziz Ben;Tifour
Ali;Benouna
Karim;Benzema
Marc;Berdoll
Georges;Bereta
Grégoire;Berg
Philippe;Bergeroo
Pierre;Bernard
Charles;Berthelot
Marcel;Bertrand
Jean-Paul;Bertrand-Demanes
André;Betta
Henri;Biancheri
Michel;Bibard
Guillaume;Bieganski
Jules;Bigot
Maurice;Bigué
René;Bihel
Dominique;Bijotat
Charles;Bilot
Georges;Bilot
Laurent;Blanc
Bernard;Blanchet
René;Bliard
Paul;Bloch
Patrick;Blondeau
Louis;Bloquel
Alain;Boghossian
Bernard;Boissier
Basile;Boli
Bruno;Bollini
Georges;Bon
Georges;Bonello
Émile;Bongiorni
Antoine;Bonifaci
Philippe;Bonnardel
Joseph;Bonnel
René;Bonnet
Bernard;Bosquier
Maxime;Bossis
Richard;Boucher
Jean-Alain;Boumsong
François;Bourbotte
Louis;Bournonville
Roger;Boury
Farès;Bousdira
Jean;Boyer
François;Bracci
Saïd;Brahimi
Jean-Claude;Bras
Gabriel;Braun
Daniel;Bravo
Gilbert;Brébion
Jérémie;Bréchet
Jimmy;Briand
François;Brisson
José;Broissart
Juste;Brouzes
Marius;Bruat
Stéphane;Bruey
Fernand;Brunel
Michel;Brusseaux
Robert;Budzynski
Marcel;Bure
Jean-Louis;Buron
Gérard;Buscher
Yohan;Cabaye
Pierre;Cahuzac
André;Caillet
Zoumana;Camara
René;Camard
Francis;Camerini
Vincent;Candela
Fernand;Canelle
Jacques;Canthelou
Éric;Cantona
Marcel;Capelle
Étienne;Capoue
Louis;Cardiet
Georges;Carnus
Daniel;Carpentier
Cédric;Carrasso
Désiré;Carré
Roger;Carré
Éric;Carrière
Georges;Casolari
Bernard;Casoni
Jean;Castaneda
Louis;Cazal
Hector;Cazenave
Raoul;Chaisaz
Clément;Chantôme
Paul;Chandelier
Augustin;Chantrel
Max;Charbit
Lionel;Charbonnier
André;Chardar
Daniel;Charles-Alfred
René;Charrier
Yves;Chauveau
Pierre;Chayriguès
Pierre;Chesneau
André;Cheuva
Bruno;Cheyrou
Bernard;Chiarelli
Serge;Chiesa
Paul;Chillan
Pascal;Chimbonda
André;Chorda
Philippe;Christanval
Didier;Christophe
Mickaël;Ciani
Raymond;Cicci
Thadée;Cisowski
Djibril;Cissé
Aly;Cissokho
François;Clerc
Ernest;Clère
Gaël;Clichy
Robert;Coat
Christophe;Cocard
Dominique;Colonna
Nestor;Combin
Alfred;Compeyrat
Alain;Cornu
Lucien;Cossou
Christian;Coste
Maurice;Cottenet
Jules;Cottenier
Didier;Couécou
Grégory;Coupet
Alain;Couriol
Albert;Courquin
Paul;Courtin
Roger;Courtois
Georges;Crozier
Édouard;Crut
Antoine;Cuissard
Carlos;Curbelo
Stanislas;Curyl
Gaston;Cyprès
Jean-Pierre;Cyprien
Ousmane;Dabo
Olivier;Dacourt
Stéphan;Dakowski
Christian;Dalger
Alfred;Dambach
Marcel;Dangles
Georges;Dard
Louis;Darques
Julien;Darui
Sadi;Dastarac
Robert;Dauphin
Jacques;Davy
Hector De;Bourgoing
Mathieu;Debuchy
René;Dedieu
Robert;Défossé
Jean;Degouve
Frédéric;Déhu
Léon;Deladerrière
Patrick;Delamontagne
Jacques;Delannoy
Edmond;Delfour
Célestin;Delmer
Jean;Deloffre
Joseph;Delvecchio
Gabriel De;Michèle
Julien;Denis
Serge;Denis
Victor;Denis
Maurice;Depaepe
René;Dereuddre
Marcel;Desailly
Didier;Deschamps
Jean;Desgranges
Pascal;Despeyroux
Fernand;Desrousseaux
Marcel;Desrousseaux
